rxn,rxnName,GPR,lowMean,highMean,deltaFlux,absDeltaFlux,lowRange,highRange,rangeChange
LPLIPAL2E120,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C12:0)",,7.53616121086801e-06,0.0922529829092924,0.0922454467480815,0.0922454467480815,1.5072322421736e-05,0.184505965818585,0.184490893496163
PSD120,"Phosphatidylserine decarboxylase (n-C12:0)",ZMO1_ZMO1160,7.62142240672767e-06,0.0922529837545878,0.0922453623321811,0.0922453623321811,1.52428448134553e-05,0.184505967509176,0.184490724664362
PSSA120,"Phosphatidylserine syntase (n-C12:0)",ZMO1_ZMO1159,7.62142240672767e-06,0.0922529837545878,0.0922453623321811,0.0922453623321811,1.52428448134553e-05,0.184505967509176,0.184490724664362
PSSA141,"Phosphatidylserine syntase (n-C14:1)",ZMO1_ZMO1159,7.62428956194174e-06,0.0922529829097066,0.0922453586201447,0.0922453586201447,1.52485791238835e-05,0.184505965819413,0.184490717240289
PSD141,"Phosphatidylserine decarboxylase (n-C14:1)",,7.62428956194174e-06,0.0922529829097066,0.0922453586201447,0.0922453586201447,1.52485791238835e-05,0.184505965819413,0.184490717240289
LPLIPAL2E161,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:1)",,7.62555311445423e-06,0.092252982402848,0.0922453568497335,0.0922453568497335,1.52511062289085e-05,0.184505964805696,0.184490713699467
APG3PAT141,"Acyl-phosphate:glycerol-3-phosphate acyltransferase (C14:1)",ZMO1_ZMO1195,8.03862363913974e-06,0.0922531056338422,0.0922450670102031,0.0922450670102031,1.60772472782795e-05,0.184506211267684,0.184490134020406
AGPAT180,"1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:0)",ZMO1_ZMO0419,8.28532886938836e-06,0.0922531062270417,0.0922448208981723,0.0922448208981723,1.65706577387767e-05,0.184506212454083,0.184489641796345
G3PAT180,"Glycerol-3-phosphate acyltransferase (C18:0)",ZMO1_ZMO1900,8.28687306044116e-06,0.0922531062271353,0.0922448193540749,0.0922448193540749,1.65737461208823e-05,0.184506212454271,0.18448963870815
APG3PAT120,"Acyl-phosphate:glycerol-3-phosphate acyltransferase (C12:0)",ZMO1_ZMO1195,8.29475032083286e-06,0.0922531056347335,0.0922448108844127,0.0922448108844127,1.65895006416657e-05,0.184506211269467,0.184489621768825
G3PAT120,"Glycerol-3-phosphate acyltransferase (C12:0)",,8.29593557255944e-06,0.0922528802746878,0.0922445843391152,0.0922445843391152,1.65918711451189e-05,0.184505760549376,0.18448916867823
APG3PAT140,"Acyl-phosphate:glycerol-3-phosphate acyltransferase (C14:0)",ZMO1_ZMO1195,8.54389082978796e-06,0.0922531056334337,0.0922445617426039,0.0922445617426039,1.70877816595759e-05,0.184506211266867,0.184489123485208
AGPAT141,"1-tetradec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:1)",ZMO1_ZMO0419,8.55218286322941e-06,0.0922531056344589,0.0922445534515957,0.0922445534515957,1.71043657264588e-05,0.184506211268918,0.184489106903191
PSSA180,"Phosphatidylserine syntase (n-C18:0)",ZMO1_ZMO1159,7.06818401906284e-06,0.0922515212981972,0.0922444531141781,0.0922444531141781,1.41363680381257e-05,0.184503042596394,0.184488906228356
PSD180,"Phosphatidylserine decarboxylase (n-C18:0)",,7.06818401906284e-06,0.0922515212981972,0.0922444531141781,0.0922444531141781,1.41363680381257e-05,0.184503042596394,0.184488906228356
PSSA140,"Phosphatidylserine syntase (n-C14:0)",ZMO1_ZMO1159,7.33936773644973e-06,0.0922515212981929,0.0922441819304565,0.0922441819304565,1.46787354728995e-05,0.184503042596386,0.184488363860913
PSD140,"Phosphatidylserine decarboxylase (n-C14:0)",,7.33936773644973e-06,0.0922515212981929,0.0922441819304565,0.0922441819304565,1.46787354728995e-05,0.184503042596386,0.184488363860913
G3PAT141,"Glycerol-3-phosphate acyltransferase (C14:1)",ZMO1_ZMO1279,8.03733705033603e-06,0.0922521802051913,0.0922441428681409,0.0922441428681409,1.60746741006721e-05,0.184504360410383,0.184488285736282
AGPAT120,"1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C12:0)",ZMO1_ZMO0419,8.04010750400538e-06,0.0922521802050648,0.0922441400975608,0.0922441400975608,1.60802150080108e-05,0.18450436041013,0.184488280195122
APG3PAT180,"Acyl-phosphate:glycerol-3-phosphate acyltransferase (C18:0)",ZMO1_ZMO1195,8.28533055890048e-06,0.0922522618322915,0.0922439765017326,0.0922439765017326,1.6570661117801e-05,0.184504523664583,0.184487953003465
LPLIPAL2E180,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:0)",,7.62326479822398e-06,0.0922515212982006,0.0922438980334023,0.0922438980334023,1.5246529596448e-05,0.184503042596401,0.184487796066805
LPLIPAL2E160,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:0)",,7.6239854753541e-06,0.0922515212981972,0.0922438973127219,0.0922438973127219,1.52479709507082e-05,0.184503042596394,0.184487794625444
AGPAT140,"1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:0)",ZMO1_ZMO0419,8.28533216403069e-06,0.0922521802060344,0.0922438948738704,0.0922438948738704,1.65706643280614e-05,0.184504360412069,0.184487789747741
LPLIPAL2E181,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:1)",,7.84260259642251e-06,0.0922515212981962,0.0922436786955998,0.0922436786955998,1.5685205192845e-05,0.184503042596392,0.1844873573912
G3PAT140,"Glycerol-3-phosphate acyltransferase (C14:0)",ZMO1_ZMO1279 or ZMO1_ZMO2012,8.54543668982787e-06,0.0922521823573793,0.0922436369206895,0.0922436369206895,1.70908733796557e-05,0.184504364714759,0.184487273841379
PE141abcpp,"Phosphatidylethanolamine transport via ABC system (n-C14:1, periplasm)",ZMO1_ZMO1790,9.98760247719691e-06,0.0922530583438528,0.0922430707413756,0.0922430707413756,1.99752049543938e-05,0.184506116687706,0.184486141482751
2AGPE141tipp,"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm)",ZMO1_ZMO0099,9.30160894481795e-06,0.0922521852311872,0.0922428836222424,0.0922428836222424,1.86032178896359e-05,0.184504370462374,0.184485767244485
PLIPA1E141pp,"Phospholipase A1 (phosphatidylethanolamine, n-C14:1) (periplasm)",,9.30160894481795e-06,0.0922521852311872,0.0922428836222424,0.0922428836222424,1.86032178896359e-05,0.184504370462374,0.184485767244485
PE180abcpp,"Phosphatidylethanolamine transport via ABC system (n-C18:0, periplasm)",ZMO1_ZMO1790,9.3042436870515e-06,0.0922521852268017,0.0922428809831147,0.0922428809831147,1.8608487374103e-05,0.184504370453603,0.184485761966229
PLIPA1E161pp,"Phospholipase A1 (phosphatidylethanolamine, n-C16:1) (periplasm)",,9.30160975010096e-06,0.0922521802042283,0.0922428785944782,0.0922428785944782,1.86032195002019e-05,0.184504360408457,0.184485757188956
2AGPE161tipp,"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm)",ZMO1_ZMO0099,9.30160975010096e-06,0.0922521802042283,0.0922428785944782,0.0922428785944782,1.86032195002019e-05,0.184504360408457,0.184485757188956
